algorithm,ho_count,ping_pong_count,ping_pong_rate,unnecessary_ho_rate,call_drop_count,call_drop_rate,mean_sinr_db,run,scenario,theta
fis,0,0,0.0,0.0,0,0.0,6.585,0,pedestrian,0.4
fis,0,0,0.0,0.0,0,0.0,-0.183,1,pedestrian,0.4
fis,0,0,0.0,0.0,0,0.0,5.092,0,slow_vehicle,0.4
fis,0,0,0.0,0.0,0,0.0,0.608,1,slow_vehicle,0.4
fis,98,91,0.9286,0.8673,0,0.0,5.005,0,fast_vehicle,0.4
fis,18,15,0.8333,0.1667,0,0.0,-5.118,1,fast_vehicle,0.4
fis,0,0,0.0,0.0,0,0.0,6.585,0,pedestrian,0.6
fis,0,0,0.0,0.0,0,0.0,-0.183,1,pedestrian,0.6
fis,0,0,0.0,0.0,0,0.0,5.092,0,slow_vehicle,0.6
fis,0,0,0.0,0.0,0,0.0,0.608,1,slow_vehicle,0.6
fis,0,0,0.0,0.0,0,0.0,7.763,0,fast_vehicle,0.6
fis,31,29,0.9355,0.0,0,0.0,-3.684,1,fast_vehicle,0.6
fis,0,0,0.0,0.0,0,0.0,6.585,0,pedestrian,0.8
fis,0,0,0.0,0.0,0,0.0,-0.183,1,pedestrian,0.8
fis,0,0,0.0,0.0,0,0.0,5.092,0,slow_vehicle,0.8
fis,0,0,0.0,0.0,0,0.0,0.608,1,slow_vehicle,0.8
fis,0,0,0.0,0.0,0,0.0,7.763,0,fast_vehicle,0.8
fis,18,16,0.8889,0.0,0,0.0,-3.03,1,fast_vehicle,0.8
